w1	w2	count	p_cond
आहे	त्यामुळे	3	0.30000000
,	असे	2	0.13333333
,	शिक्षकेतर	2	0.13333333
आहे	,	2	0.20000000
ऊती	संवर्धन	2	0.50000000
तालुक्	यात	2	1.00000000
तो	तिला	2	1.00000000
त्यामुळे	शिरूर	2	0.66666667
परिणाम	पाहणे	2	1.00000000
पाहणे	,	2	1.00000000
शिक्षक	,	2	1.00000000
शिक्षकांची	तपासणी	2	1.00000000
शिरूर	तालुक्	2	1.00000000
'	एकटा	1	0.33333333
'	म्हणजे	1	0.33333333
'	लोकसंख्या	1	0.33333333
,	500	1	0.06666667
,	असं	1	0.06666667
,	इंद्रियांचे	1	0.06666667
,	कर्करोग	1	0.06666667
,	जन्मजात	1	0.06666667
,	पोषण	1	0.06666667
,	प्रयोगशाळेत	1	0.06666667
,	या	1	0.06666667
,	लसनिर्मिती	1	0.06666667
,	शिक्षकांना	1	0.06666667
,	सामान्य	1	0.06666667
-	घेणं	1	0.33333333
-	या	1	0.33333333
-	यांनी	1	0.33333333
1	लाख	1	1.00000000
113	ग्रॅम	1	1.00000000
5	लाख	1	1.00000000
500	ग्रॅम	1	1.00000000
75	हजार	1	1.00000000
88	हजार	1	1.00000000
अटक	केली	1	1.00000000
अधिक	शिक्षक	1	1.00000000
अध्यक्ष	चंद्रकांत	1	1.00000000
अनिवार्य	केले	1	1.00000000
अनेक	उपयोग	1	1.00000000
अप्रत्यक्षपणे	टोला	1	1.00000000
अभिमान	आहे	1	1.00000000
असं	म्हणत	1	1.00000000
असंच	लिहित	1	1.00000000
असणं	आवश्यक	1	1.00000000
असतं	आणि	1	1.00000000
असतो	कसेतरी	1	1.00000000
असल्याचे	सध्याचे	1	1.00000000
असा	5	1	1.00000000
असे	कृषी	1	0.50000000
असे	मुख्यमंत्री	1	0.50000000
असेही	ते	1	1.00000000
आई	आणि	1	1.00000000
आढळले	आतापर्यंत	1	0.50000000
आढळले	आहेत	1	0.50000000
आढळलेल्या	एकूण	1	1.00000000
आणि	कुशल	1	0.25000000
आणि	माझी	1	0.25000000
आणि	मुलीला	1	0.25000000
आणि	रोख	1	0.25000000
आता	बरेच	1	1.00000000
आतापर्यंत	आढळलेल्या	1	0.50000000
आतापर्यंत	शंभरपेक्षा	1	0.50000000
आधीच	ठरलं	1	1.00000000
आमचं	विधानसभेसाठीचं	1	1.00000000
आमचा	काहीही	1	1.00000000
आम्हाला	काही	1	1.00000000
आरोपांवर	शिवसेनेने	1	1.00000000
आली	रविवारी	1	1.00000000
आवश्यक	असतं	1	1.00000000
आवश्यकताच	नव्हती	1	1.00000000
आहे	असंच	1	0.10000000
आहे	इतर	1	0.10000000
आहे	प्रत्येक	1	0.10000000
आहे	मला	1	0.10000000
आहे	सोमवारी	1	0.10000000
आहेत	भाजलेल्या	1	0.25000000
आहेत	मात्र	1	0.25000000
आहेत	या	1	0.25000000
आहेत	राणे	1	0.25000000
इ	बाबी	1	1.00000000
इंद्रियांचे	रोपण	1	1.00000000
इतर	लोकं	1	1.00000000
उत्तर	देताना	1	1.00000000
उत्पन्न	बाजार	1	1.00000000
उपयोग	आहेत	1	0.50000000
उपयोग	विशेषकरून	1	0.50000000
ऊती	संवर्धनाद्वारे	1	0.25000000
ऊती	संवर्धनामुळे	1	0.25000000
एकटा	कॅप्टन	1	1.00000000
एकूण	बाधितांची	1	1.00000000
एखाद्या	घटकाचा	1	0.50000000
एखाद्या	भौगोलिक	1	0.50000000
एमपीसी	न्यूज	1	1.00000000
ऐवज	जप्त	1	1.00000000
औषधांचा	होणारा	1	1.00000000
करणा	-	1	1.00000000
करणे	इ	1	1.00000000
करण्याचा	प्रयत्न	1	1.00000000
करण्यात	आली	1	1.00000000
करत	असतो	1	1.00000000
करतात	,	1	1.00000000
करू	शकत	1	1.00000000
करून	ते	1	1.00000000
करोना	पाय	1	1.00000000
करोनावर	टीमवर्कमुळे	1	1.00000000
कर्करोग	संशोधन	1	1.00000000
कर्करोगाच्या	पेशींवर	1	1.00000000
कर्मचा	-	1	1.00000000
कर्मचारी	पॉझिटिव्ह	1	1.00000000
कर्मचाऱ्यांना	कोरोना	1	1.00000000
कसे	नियंत्रण	1	1.00000000
कसेतरी	तो	1	1.00000000
काम	करतात	1	1.00000000
काय	बोलतात	1	1.00000000
काही	देणं	1	0.25000000
काही	न	1	0.25000000
काही	बोलतं	1	0.25000000
काही	सांगितल्यामुळे	1	0.25000000
काहीच	करू	1	1.00000000
काहीही	संबंध	1	1.00000000
किंवा	कर्करोगाच्या	1	1.00000000
कुणीच	काही	1	1.00000000
कुशल	आहे	1	1.00000000
कृषी	उत्पन्न	1	1.00000000
कॅप्टन	काहीच	1	1.00000000
केला	तसेच	1	1.00000000
केली	आहे	1	0.50000000
केली	यावेळी	1	0.50000000
केले	आहे	1	1.00000000
केलेली	त्वचा	1	1.00000000
केलेल्या	आरोपांवर	1	1.00000000
कोणतीही	प्रतिक्रिया	1	1.00000000
कोरोना	तपासणी	1	1.00000000
कोरोनाची	बाधा	1	1.00000000
क्राईम	पेट्रोल	1	1.00000000
क्षेत्रांत	ऊती	1	1.00000000
खरंतरं	तिथे	1	1.00000000
खांद्यावर	डोके	1	1.00000000
गणित	लोकसभेच्या	1	1.00000000
गर्भपोषण	या	1	1.00000000
गुन्हेशाखा	तीनच्या	1	1.00000000
ग्रॅम	चांदीचे	1	0.50000000
ग्रॅम	सोन्याचे	1	0.50000000
घटकाचा	परिणाम	1	1.00000000
घट्ट	रोवत	1	1.00000000
घरफोडी	करणा	1	1.00000000
घरी	बसून	1	1.00000000
घेणं	नाही	1	1.00000000
घेतला	आहे	1	1.00000000
