w1	w2	w3	w4	count	p_cond
आहे	त्यामुळे	शिरूर	तालुक्	2	1.00000000
त्यामुळे	शिरूर	तालुक्	यात	2	1.00000000
'	एकटा	कॅप्टन	काहीच	1	1.00000000
'	म्हणजे	एखाद्या	भौगोलिक	1	1.00000000
'	लोकसंख्या	'	म्हणजे	1	1.00000000
,	500	ग्रॅम	चांदीचे	1	1.00000000
,	असं	म्हणत	महसूल	1	1.00000000
,	असे	कृषी	उत्पन्न	1	1.00000000
,	असे	मुख्यमंत्री	म्हणाले	1	1.00000000
,	इंद्रियांचे	रोपण	,	1	1.00000000
,	कर्करोग	संशोधन	व	1	1.00000000
,	जन्मजात	रोगांचे	निदान	1	1.00000000
,	पोषण	,	लसनिर्मिती	1	1.00000000
,	प्रयोगशाळेत	त्वचा	तयार	1	1.00000000
,	या	विरोधकांच्या	टीकेला	1	1.00000000
,	लसनिर्मिती	,	जन्मजात	1	1.00000000
,	शिक्षकांना	शा	ळेत	1	1.00000000
,	शिक्षकेतर	कर्मचारी	पॉझिटिव्ह	1	1.00000000
,	शिक्षकेतर	कर्मचाऱ्यांना	कोरोना	1	1.00000000
,	सामान्य	किंवा	कर्करोगाच्या	1	1.00000000
-	घेणं	नाही	त्याच्याशी	1	1.00000000
-	या	आई	आणि	1	1.00000000
-	यांनी	अटक	केली	1	1.00000000
1	लाख	75	हजार	1	1.00000000
113	ग्रॅम	सोन्याचे	दागिने	1	1.00000000
5	लाख	88	हजार	1	1.00000000
500	ग्रॅम	चांदीचे	दागिने	1	1.00000000
75	हजार	रुपये	असा	1	1.00000000
88	हजार	रुपयांचा	ऐवज	1	1.00000000
अटक	केली	यावेळी	पोलिसांनी	1	1.00000000
अधिक	शिक्षक	,	शिक्षकेतर	1	1.00000000
अध्यक्ष	चंद्रकांत	पाटलांना	अप्रत्यक्षपणे	1	1.00000000
अनिवार्य	केले	आहे	त्यामुळे	1	1.00000000
अनेक	उपयोग	आहेत	या	1	1.00000000
अप्रत्यक्षपणे	टोला	लगावला	आमचं	1	1.00000000
अभिमान	आहे	,	असे	1	1.00000000
असं	म्हणत	महसूल	मंत्री	1	1.00000000
असंच	लिहित	राहा	मुख्यमंत्री	1	1.00000000
असणं	आवश्यक	असतं	आणि	1	1.00000000
असतं	आणि	माझी	टीम	1	1.00000000
असतो	कसेतरी	तो	तिला	1	1.00000000
असल्याचे	सध्याचे	तरी	चित्र	1	1.00000000
असा	5	लाख	88	1	1.00000000
असे	कृषी	उत्पन्न	बाजार	1	1.00000000
असे	मुख्यमंत्री	म्हणाले	'	1	1.00000000
आई	आणि	मुलीला	गुन्हेशाखा	1	1.00000000
आढळले	आतापर्यंत	शंभरपेक्षा	अधिक	1	1.00000000
आढळले	आहेत	राणे	यांनी	1	1.00000000
आढळलेल्या	एकूण	बाधितांची	संख्या	1	1.00000000
आणि	कुशल	आहे	मला	1	1.00000000
आणि	माझी	टीम	मजबूत	1	1.00000000
आणि	मुलीला	गुन्हेशाखा	तीनच्या	1	1.00000000
आणि	रोख	1	लाख	1	1.00000000
आता	बरेच	हलकं	हलकं	1	1.00000000
आतापर्यंत	आढळलेल्या	एकूण	बाधितांची	1	1.00000000
आतापर्यंत	शंभरपेक्षा	अधिक	शिक्षक	1	1.00000000
आधीच	ठरलं	आहे	इतर	1	1.00000000
आमचं	विधानसभेसाठीचं	गणित	लोकसभेच्या	1	1.00000000
आमचा	काहीही	संबंध	नाही	1	1.00000000
आम्हाला	काही	देणं	-	1	1.00000000
आरोपांवर	शिवसेनेने	कोणतीही	प्रतिक्रिया	1	1.00000000
आली	रविवारी	२९८	शिक्षकांची	1	1.00000000
आवश्यक	असतं	आणि	माझी	1	1.00000000
आवश्यकताच	नव्हती	जेव्हा	शब्द	1	1.00000000
आहे	,	असं	म्हणत	1	1.00000000
आहे	,	असे	मुख्यमंत्री	1	1.00000000
आहे	असंच	लिहित	राहा	1	1.00000000
आहे	इतर	लोकं	काय	1	1.00000000
आहे	त्यामुळे	शिक्षक	,	1	1.00000000
आहे	प्रत्येक	हॅास्पीटलला	२५	1	1.00000000
आहे	मला	नक्कीच	त्याचा	1	1.00000000
आहे	सोमवारी	५९८	शिक्षकांची	1	1.00000000
आहेत	भाजलेल्या	रुग्णाच्या	त्वचारोपणासाठी	1	1.00000000
आहेत	मात्र	,	शिक्षकांना	1	1.00000000
आहेत	या	तंत्राचा	उपयोग	1	1.00000000
आहेत	राणे	यांनी	शिवसेनेच्या	1	1.00000000
इ	बाबी	ऊती	संवर्धनामुळे	1	1.00000000
इंद्रियांचे	रोपण	,	कर्करोग	1	1.00000000
इतर	लोकं	काय	बोलतात	1	1.00000000
उत्तर	देताना	करोनावर	टीमवर्कमुळे	1	1.00000000
उत्पन्न	बाजार	समितीचे	सचिव	1	1.00000000
उपयोग	आहेत	या	तंत्राचा	1	1.00000000
उपयोग	विशेषकरून	जीवशास्त्र	व	1	1.00000000
ऊती	संवर्धन	तंत्र	प्रामुख्याने	1	1.00000000
ऊती	संवर्धन	तंत्राचे	अनेक	1	1.00000000
ऊती	संवर्धनाद्वारे	निर्माण	केलेली	1	1.00000000
ऊती	संवर्धनामुळे	शक्य	झाल्या	1	1.00000000
एकटा	कॅप्टन	काहीच	करू	1	1.00000000
